,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,average,average
Start:              ,0,0
Points:             ,71000,71000
Count:              ,48,48
XDispRange:         ,7.10000E+00,7.10000E+00
XDispOrg:           ,-3.67099999999998E-02,-3.67099999999998E-02
XInc:               ,1.00000000000000E-04,1.00000000000000E-04
XOrg:               ,-3.66100000000001E-02,-3.66100000000001E-02
Units:              ,Second,Second
XReference:         ,4,4
YDispRange:         ,4.00000E-01,8.00000E+00
YDispOrg:           ,5.87999999523163E-01,2.35999989509583E+00
YInc:               ,6.587944310779E-06,1.31762197229732E-04
YOrg:               ,5.94640647865265E-01,2.49281629480757E+00
Units:              ,Volt,Volt
YReference:         ,1,1
Frame:              ,DSOS104A:MY55510295,DSOS104A:MY55510295
Date:               ,10 MAY 2018,10 MAY 2018
Time:               ,18:08:09,18:08:09
Max Bandwidth:      ,5000,5000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-1.29100E-02, 4.867301E-01, 5.063694E-01
-1.28100E-02, 4.905314E-01, 5.099270E-01
-1.27100E-02, 4.911111E-01, 5.136163E-01
-1.26100E-02, 4.858012E-01, 5.021530E-01
-1.25100E-02, 4.861438E-01, 5.055788E-01
-1.24100E-02, 4.860581E-01, 5.017577E-01
-1.23100E-02, 4.899253E-01, 5.157245E-01
-1.22100E-02, 4.825929E-01, 4.985954E-01
-1.21100E-02, 4.845363E-01, 5.066329E-01
-1.20100E-02, 4.842267E-01, 5.000448E-01
-1.19100E-02, 4.882519E-01, 5.074235E-01
-1.18100E-02, 4.899846E-01, 5.050518E-01
-1.17100E-02, 4.867565E-01, 5.099270E-01
-1.16100E-02, 4.837392E-01, 5.042612E-01
-1.15100E-02, 4.920927E-01, 5.071600E-01
-1.14100E-02, 4.925078E-01, 5.149339E-01
-1.13100E-02, 4.860186E-01, 5.032071E-01
-1.12100E-02, 4.897211E-01, 5.121669E-01
-1.11100E-02, 4.856629E-01, 5.079505E-01
-1.10100E-02, 4.824743E-01, 4.985954E-01
-1.09100E-02, 4.868619E-01, 5.033389E-01
-1.08100E-02, 4.850502E-01, 5.050518E-01
-1.07100E-02, 4.851358E-01, 5.045248E-01
-1.06100E-02, 4.847669E-01, 5.029436E-01
-1.05100E-02, 4.857880E-01, 5.065012E-01
-1.04100E-02, 4.887197E-01, 5.088729E-01
-1.03100E-02, 4.829486E-01, 5.007036E-01
-1.02100E-02, 4.865984E-01, 5.059741E-01
-1.01100E-02, 4.835547E-01, 5.045248E-01
-1.00100E-02, 4.863282E-01, 5.037342E-01
-9.9100E-03, 4.889239E-01, 5.059741E-01
-9.8100E-03, 4.799116E-01, 4.968825E-01
-9.7100E-03, 4.844112E-01, 5.058424E-01
-9.6100E-03, 4.924616E-01, 5.119034E-01
-9.5100E-03, 4.896156E-01, 5.007036E-01
-9.4100E-03, 4.890293E-01, 5.107176E-01
-9.3100E-03, 4.902876E-01, 5.074235E-01
-9.2100E-03, 4.938188E-01, 5.177010E-01
-9.1100E-03, 4.860318E-01, 5.063694E-01
-9.0100E-03, 4.902613E-01, 5.103223E-01
-8.9100E-03, 4.822833E-01, 5.013624E-01
-8.8100E-03, 4.892533E-01, 5.094000E-01
-8.7100E-03, 4.861636E-01, 5.058424E-01
-8.6100E-03, 4.791540E-01, 5.007036E-01
-8.5100E-03, 4.771512E-01, 5.020213E-01
-8.4100E-03, 4.828630E-01, 5.004401E-01
-8.3100E-03, 4.840752E-01, 5.004401E-01
-8.2100E-03, 4.794768E-01, 4.992543E-01
-8.1100E-03, 4.870397E-01, 5.080823E-01
-8.0100E-03, 4.836338E-01, 5.057106E-01
-7.9100E-03, 4.857946E-01, 5.037342E-01
-7.8100E-03, 4.893323E-01, 5.070282E-01
-7.7100E-03, 4.822371E-01, 4.987272E-01
-7.6100E-03, 4.866181E-01, 4.989907E-01
-7.5100E-03, 4.870200E-01, 5.116399E-01
-7.4100E-03, 4.857024E-01, 5.066329E-01
-7.3100E-03, 4.921849E-01, 5.075552E-01
-7.2100E-03, 4.895102E-01, 5.063694E-01
-7.1100E-03, 4.846549E-01, 5.075552E-01
-7.0100E-03, 4.815915E-01, 5.030754E-01
-6.9100E-03, 4.853005E-01, 5.049200E-01
-6.8100E-03, 4.840225E-01, 5.059741E-01
-6.7100E-03, 4.866445E-01, 5.033389E-01
-6.6100E-03, 4.853796E-01, 5.063694E-01
-6.5100E-03, 4.874087E-01, 5.000448E-01
-6.4100E-03, 4.878369E-01, 5.043930E-01
-6.3100E-03, 4.863414E-01, 5.075552E-01
-6.2100E-03, 4.847603E-01, 4.980684E-01
-6.1100E-03, 4.881992E-01, 5.071600E-01
-6.0100E-03, 4.842267E-01, 5.053153E-01
-5.9100E-03, 4.867038E-01, 5.029436E-01
-5.8100E-03, 4.829882E-01, 4.972778E-01
-5.7100E-03, 4.898792E-01, 5.108493E-01
-5.6100E-03, 4.920268E-01, 5.109811E-01
-5.5100E-03, 4.857551E-01, 5.041295E-01
-5.4100E-03, 4.892072E-01, 5.109811E-01
-5.3100E-03, 4.908805E-01, 5.097952E-01
-5.2100E-03, 4.918951E-01, 5.074235E-01
-5.1100E-03, 4.782580E-01, 4.970143E-01
-5.0100E-03, 4.866576E-01, 5.038660E-01
-4.9100E-03, 4.843058E-01, 4.975413E-01
-4.8100E-03, 4.861240E-01, 5.084776E-01
-4.7100E-03, 4.814466E-01, 4.906897E-01
-4.6100E-03, 4.830343E-01, 5.043930E-01
-4.5100E-03, 4.855377E-01, 5.018895E-01
-4.4100E-03, 4.846615E-01, 5.026801E-01
-4.3100E-03, 4.891874E-01, 5.071600E-01
-4.2100E-03, 4.890030E-01, 5.128257E-01
-4.1100E-03, 4.875668E-01, 5.068964E-01
-4.0100E-03, 4.874680E-01, 5.034707E-01
-3.9100E-03, 4.833571E-01, 5.087411E-01
-3.8100E-03, 4.907158E-01, 5.121669E-01
-3.7100E-03, 4.889503E-01, 5.054471E-01
-3.6100E-03, 4.953076E-01, 5.125622E-01
-3.5100E-03, 4.896156E-01, 5.050518E-01
-3.4100E-03, 4.897342E-01, 5.041295E-01
-3.3100E-03, 4.941877E-01, 5.116399E-01
-3.2100E-03, 4.924419E-01, 5.134846E-01
-3.1100E-03, 4.947411E-01, 5.101905E-01
-3.0100E-03, 4.850897E-01, 5.058424E-01
-2.9100E-03, 4.837919E-01, 5.007036E-01
-2.8100E-03, 4.829882E-01, 4.918756E-01
-2.7100E-03, 4.807483E-01, 4.991225E-01
-2.6100E-03, 4.848723E-01, 5.041295E-01
-2.5100E-03, 4.858342E-01, 5.030754E-01
-2.4100E-03, 4.880477E-01, 5.061059E-01
-2.3100E-03, 4.893587E-01, 5.047883E-01
-2.2100E-03, 4.880543E-01, 5.075552E-01
-2.1100E-03, 4.855311E-01, 5.079505E-01
-2.0100E-03, 4.856431E-01, 5.084776E-01
-1.9100E-03, 4.873823E-01, 5.113764E-01
-1.8100E-03, 4.833637E-01, 5.067647E-01
-1.7100E-03, 4.860516E-01, 5.050518E-01
-1.6100E-03, 4.882783E-01, 5.111129E-01
-1.5100E-03, 4.883639E-01, 5.082141E-01
-1.4100E-03, 4.907488E-01, 5.042612E-01
-1.3100E-03, 4.962365E-01, 5.157245E-01
-1.2100E-03, 4.927910E-01, 5.124305E-01
-1.1100E-03, 4.876458E-01, 5.076870E-01
-1.0100E-03, 4.832714E-01, 5.043930E-01
-9.100E-04, 4.789498E-01, 5.013624E-01
-8.100E-04, 4.762355E-01, 4.960920E-01
-7.100E-04, 4.854125E-01, 5.055788E-01
-6.100E-04, 4.768153E-01, 4.902944E-01
-5.100E-04, 4.772040E-01, 4.968825E-01
-4.100E-04, 4.859989E-01, 5.021530E-01
-3.100E-04, 4.826851E-01, 5.032071E-01
-2.100E-04, 4.884101E-01, 5.066329E-01
-1.100E-04, 4.866642E-01, 5.039977E-01
-1.00E-05, 4.871847E-01, 2.0995061E+00
9.00E-05, 4.955580E-01, 4.7781000E+00
1.900E-04, 4.989244E-01, 4.7887726E+00
2.900E-04, 4.949519E-01, 4.7848196E+00
3.900E-04, 4.910189E-01, 4.7856102E+00
4.900E-04, 4.903139E-01, 4.7842927E+00
5.900E-04, 5.087339E-01, 4.7784953E+00
6.900E-04, 5.029760E-01, 4.7788906E+00
7.900E-04, 5.007427E-01, 4.7856102E+00
8.900E-04, 4.970798E-01, 4.7892995E+00
9.900E-04, 4.905841E-01, 4.7848196E+00
1.0900E-03, 4.889371E-01, 4.7853470E+00
1.1900E-03, 4.944380E-01, 4.7806034E+00
1.2900E-03, 4.877512E-01, 4.7808666E+00
1.3900E-03, 4.998467E-01, 4.7811303E+00
1.4900E-03, 4.909530E-01, 4.7791538E+00
1.5900E-03, 4.891611E-01, 4.7908807E+00
1.6900E-03, 4.891413E-01, 4.7950974E+00
1.7900E-03, 4.924748E-01, 4.7883773E+00
